ExistingProtection,Occupation,Budget,Gender,WorkingYear,Plan
"N","服務",35500,0,7,"儲蓄計劃"
"N","教育",61000,1,6,"儲蓄計劃"
"N","法律",21000,0,7,"儲蓄計劃"
"N","醫療",64500,0,8,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",39000,0,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",42400,1,9,"儲蓄計劃"
"N","醫療",56500,1,2,"儲蓄計劃"
"N","服務",36500,1,9,"儲蓄計劃"
"N","教育",78000,0,6,"儲蓄計劃"
"N","法律",23000,0,7,"儲蓄計劃"
"N","醫療",62400,1,6,"儲蓄計劃"
"N","服務",32400,0,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",34800,1,1,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","教育",65100,0,4,"儲蓄計劃"
"N","法律",35100,0,3,"儲蓄計劃"
"N","醫療",58800,0,6,"儲蓄計劃"
"N","服務",48800,0,7,"儲蓄計劃"
"N","教育",72600,0,8,"儲蓄計劃"
"N","法律",47600,1,7,"儲蓄計劃"
"N","醫療",70400,1,4,"儲蓄計劃"
"N","服務",35400,0,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",20800,0,7,"儲蓄計劃"
"N","醫療",69450,0,4,"儲蓄計劃"
"N","服務",44450,0,1,"儲蓄計劃"
"N","教育",78900,0,6,"儲蓄計劃"
"N","法律",18900,0,7,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",32550,1,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",35100,1,3,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",37850,0,5,"儲蓄計劃"
"N","教育",50700,0,4,"儲蓄計劃"
"N","法律",45700,1,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",30600,1,7,"儲蓄計劃"
"N","醫療",68750,1,2,"儲蓄計劃"
"N","服務",38750,0,1,"儲蓄計劃"
"N","教育",67500,1,2,"儲蓄計劃"
"N","法律",47500,0,7,"儲蓄計劃"
"N","醫療",71550,1,4,"儲蓄計劃"
"N","服務",41550,1,9,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",33100,0,5,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",50650,1,1,"儲蓄計劃"
"N","教育",76300,1,4,"儲蓄計劃"
"N","法律",11300,0,3,"儲蓄計劃"
"N","醫療",55150,0,2,"儲蓄計劃"
"N","服務",30150,1,7,"儲蓄計劃"
"N","教育",35300,0,4,"儲蓄計劃"
"N","法律",10300,0,9,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",32700,1,9,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",35400,1,7,"儲蓄計劃"
"N","醫療",70050,0,6,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",30100,0,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",31200,0,5,"儲蓄計劃"
"N","教育",52400,1,8,"儲蓄計劃"
"N","法律",12400,1,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",42700,1,6,"儲蓄計劃"
"N","法律",22700,1,1,"儲蓄計劃"
"N","醫療",62200,1,8,"儲蓄計劃"
"N","服務",32200,1,5,"儲蓄計劃"
"N","教育",54400,0,8,"儲蓄計劃"
"N","法律",14400,0,9,"儲蓄計劃"
"N","醫療",52350,1,6,"儲蓄計劃"
"N","服務",37350,0,7,"儲蓄計劃"
"N","教育",49700,1,8,"儲蓄計劃"
"N","法律",44700,0,1,"儲蓄計劃"
"N","醫療",68350,0,8,"儲蓄計劃"
"N","服務",48350,1,9,"儲蓄計劃"
"N","教育",41700,1,8,"儲蓄計劃"
"N","法律",46700,0,1,"儲蓄計劃"
"N","醫療",50950,1,4,"儲蓄計劃"
"N","教育",71900,1,8,"儲蓄計劃"
"N","法律",21900,1,5,"儲蓄計劃"
"N","醫療",60000,0,8,"儲蓄計劃"
"N","服務",30000,1,5,"儲蓄計劃"
"N","教育",50000,0,2,"儲蓄計劃"
"N","法律",10000,1,3,"儲蓄計劃"
"N","醫療",63250,0,6,"儲蓄計劃"
"N","服務",33250,1,3,"儲蓄計劃"
"N","教育",71500,0,8,"儲蓄計劃"
"N","法律",16500,1,1,"儲蓄計劃"
"N","醫療",66200,1,8,"儲蓄計劃"
"N","服務",36200,1,7,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",22400,0,9,"儲蓄計劃"
"N","醫療",68450,0,2,"儲蓄計劃"
"N","服務",38450,0,9,"儲蓄計劃"
"N","教育",36900,1,6,"儲蓄計劃"
"N","法律",26900,0,5,"儲蓄計劃"
"N","醫療",61900,1,6,"儲蓄計劃"
"N","服務",41900,0,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",13800,0,1,"儲蓄計劃"
"N","醫療",60350,0,8,"儲蓄計劃"
"N","教育",60700,0,8,"儲蓄計劃"
"N","法律",30700,1,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",58300,0,2,"儲蓄計劃"
"N","法律",23300,0,5,"儲蓄計劃"
"N","醫療",65000,1,4,"儲蓄計劃"
"N","服務",35000,0,9,"儲蓄計劃"
"N","教育",60000,0,2,"儲蓄計劃"
"N","法律",20000,1,3,"儲蓄計劃"
"N","醫療",67450,0,2,"儲蓄計劃"
"N","服務",32450,0,1,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",14900,0,1,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",40450,1,9,"儲蓄計劃"
"N","教育",40900,1,2,"儲蓄計劃"
"N","法律",10900,1,9,"儲蓄計劃"
"N","醫療",64100,1,8,"儲蓄計劃"
"N","教育",63200,0,6,"儲蓄計劃"
"N","法律",28200,1,3,"儲蓄計劃"
"N","醫療",54850,0,2,"儲蓄計劃"
"N","服務",34850,1,9,"儲蓄計劃"
"N","教育",44700,1,6,"儲蓄計劃"
"N","法律",39700,1,7,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","教育",76200,0,6,"儲蓄計劃"
"N","法律",31200,0,5,"儲蓄計劃"
"N","醫療",65500,0,6,"儲蓄計劃"
"N","服務",35500,0,5,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",21000,1,7,"儲蓄計劃"
"N","醫療",67850,1,2,"儲蓄計劃"
"N","教育",45700,1,2,"儲蓄計劃"
"N","法律",45700,1,9,"儲蓄計劃"
"N","醫療",70050,0,6,"儲蓄計劃"
"N","服務",35050,1,1,"儲蓄計劃"
"N","教育",75100,1,6,"儲蓄計劃"
"N","法律",40100,0,3,"儲蓄計劃"
"N","醫療",55700,0,8,"儲蓄計劃"
"N","教育",71400,0,2,"儲蓄計劃"
"N","法律",41400,0,7,"儲蓄計劃"
"N","醫療",50750,1,2,"儲蓄計劃"
"N","服務",35750,1,7,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",41500,1,7,"儲蓄計劃"
"N","醫療",65350,1,6,"儲蓄計劃"
"N","教育",40700,1,2,"儲蓄計劃"
"N","法律",20700,1,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",34450,1,7,"儲蓄計劃"
"N","教育",58900,1,2,"儲蓄計劃"
"N","法律",38900,1,1,"儲蓄計劃"
"N","醫療",64900,1,2,"儲蓄計劃"
"N","服務",34900,1,3,"儲蓄計劃"
"N","教育",59800,0,4,"儲蓄計劃"
"N","法律",19800,0,3,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",46000,1,9,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",22000,1,1,"儲蓄計劃"
"N","醫療",72250,0,4,"儲蓄計劃"
"N","教育",64500,1,6,"儲蓄計劃"
"N","法律",34500,0,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",55400,1,8,"儲蓄計劃"
"N","法律",40400,1,9,"儲蓄計劃"
"N","醫療",63700,0,4,"儲蓄計劃"
"N","教育",37400,1,6,"儲蓄計劃"
"N","法律",37400,1,3,"儲蓄計劃"
"N","醫療",63450,0,2,"儲蓄計劃"
"N","教育",36900,0,4,"儲蓄計劃"
"N","法律",36900,1,3,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",39150,1,5,"儲蓄計劃"
"N","教育",68300,1,4,"儲蓄計劃"
"N","法律",48300,0,3,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",56800,1,8,"儲蓄計劃"
"N","法律",41800,0,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",48400,0,5,"儲蓄計劃"
"N","教育",56800,0,4,"儲蓄計劃"
"N","法律",26800,1,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",57500,1,1,"儲蓄計劃"
"N","教育",75000,0,2,"儲蓄計劃"
"N","法律",45000,0,7,"儲蓄計劃"
"N","醫療",69450,0,6,"儲蓄計劃"
"N","服務",39450,1,9,"儲蓄計劃"
"N","教育",53900,0,6,"儲蓄計劃"
"N","法律",48900,0,9,"儲蓄計劃"
"N","醫療",61050,1,2,"儲蓄計劃"
"N","服務",36050,1,5,"儲蓄計劃"
"N","教育",77100,0,2,"儲蓄計劃"
"N","法律",22100,1,3,"儲蓄計劃"
"N","醫療",58400,0,4,"儲蓄計劃"
"N","服務",48400,1,5,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",46800,0,9,"儲蓄計劃"
"N","醫療",60700,1,6,"儲蓄計劃"
"N","服務",45700,1,1,"儲蓄計劃"
"N","教育",66400,1,2,"儲蓄計劃"
"N","法律",21400,0,3,"儲蓄計劃"
"N","醫療",54500,0,2,"儲蓄計劃"
"N","服務",44500,0,7,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",39000,0,9,"儲蓄計劃"
"N","醫療",62900,1,4,"儲蓄計劃"
"N","服務",47900,1,5,"儲蓄計劃"
"N","教育",70800,0,2,"儲蓄計劃"
"N","法律",45800,1,5,"儲蓄計劃"
"N","醫療",63650,0,8,"儲蓄計劃"
"N","服務",53650,1,1,"儲蓄計劃"
"N","教育",52300,0,6,"儲蓄計劃"
"N","法律",37300,0,5,"儲蓄計劃"
"N","醫療",63750,1,2,"儲蓄計劃"
"N","教育",62500,0,2,"儲蓄計劃"
"N","法律",47500,0,7,"儲蓄計劃"
"N","醫療",52900,0,4,"儲蓄計劃"
"N","教育",50800,1,2,"儲蓄計劃"
"N","法律",15800,0,3,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","教育",57200,0,6,"儲蓄計劃"
"N","法律",42200,0,9,"儲蓄計劃"
"N","醫療",71800,0,4,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",43600,1,3,"儲蓄計劃"
"N","醫療",59600,0,2,"儲蓄計劃"
"N","服務",39600,1,5,"儲蓄計劃"
"N","教育",39200,1,4,"儲蓄計劃"
"N","法律",29200,0,3,"儲蓄計劃"
"N","醫療",53550,0,8,"儲蓄計劃"
"N","服務",48550,0,1,"儲蓄計劃"
"N","教育",72100,0,6,"儲蓄計劃"
"N","法律",27100,1,3,"儲蓄計劃"
"N","醫療",65000,1,4,"儲蓄計劃"
"N","服務",35000,0,3,"儲蓄計劃"
"N","教育",75000,0,8,"儲蓄計劃"
"N","法律",20000,0,1,"儲蓄計劃"
"N","醫療",50100,1,6,"儲蓄計劃"
"N","服務",45100,0,7,"儲蓄計劃"
"N","教育",65200,0,4,"儲蓄計劃"
"N","法律",40200,1,7,"儲蓄計劃"
"N","醫療",71450,1,2,"儲蓄計劃"
"N","服務",46450,1,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",22900,1,3,"儲蓄計劃"
"N","醫療",60100,0,4,"儲蓄計劃"
"N","服務",40100,1,3,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",10200,0,1,"儲蓄計劃"
"N","醫療",55800,0,2,"儲蓄計劃"
"N","服務",40800,1,1,"儲蓄計劃"
"N","教育",56600,1,6,"儲蓄計劃"
"N","法律",31600,0,1,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",39800,1,1,"儲蓄計劃"
"N","教育",69600,0,6,"儲蓄計劃"
"N","法律",49600,0,1,"儲蓄計劃"
"N","醫療",68050,0,6,"儲蓄計劃"
"N","教育",36100,1,8,"儲蓄計劃"
"N","法律",16100,0,9,"儲蓄計劃"
"N","醫療",72900,0,4,"儲蓄計劃"
"N","服務",32900,1,9,"儲蓄計劃"
"N","教育",40800,1,6,"儲蓄計劃"
"N","法律",15800,0,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",32300,1,3,"儲蓄計劃"
"N","教育",54600,0,2,"儲蓄計劃"
"N","法律",14600,0,7,"儲蓄計劃"
"N","醫療",61700,1,2,"儲蓄計劃"
"N","教育",43400,1,4,"儲蓄計劃"
"N","法律",23400,0,3,"儲蓄計劃"
"N","醫療",62750,1,6,"儲蓄計劃"
"N","服務",42750,0,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",35500,1,3,"儲蓄計劃"
"N","醫療",67550,1,2,"儲蓄計劃"
"N","服務",57550,0,1,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",45100,1,9,"儲蓄計劃"
"N","醫療",50400,0,6,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",10800,0,7,"儲蓄計劃"
"N","醫療",68800,0,4,"儲蓄計劃"
"N","服務",53800,1,1,"儲蓄計劃"
"N","教育",37600,0,8,"儲蓄計劃"
"N","法律",17600,0,9,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",36700,1,1,"儲蓄計劃"
"N","教育",63400,1,6,"儲蓄計劃"
"N","法律",43400,0,1,"儲蓄計劃"
"N","醫療",68900,1,8,"儲蓄計劃"
"N","服務",33900,0,5,"儲蓄計劃"
"N","教育",72800,1,4,"儲蓄計劃"
"N","法律",37800,1,5,"儲蓄計劃"
"N","醫療",52200,1,4,"儲蓄計劃"
"N","服務",42200,0,5,"儲蓄計劃"
"N","教育",59400,0,8,"儲蓄計劃"
"N","法律",34400,0,9,"儲蓄計劃"
"N","醫療",71850,0,6,"儲蓄計劃"
"N","教育",63700,0,8,"儲蓄計劃"
"N","法律",33700,0,9,"儲蓄計劃"
"N","醫療",63400,0,4,"儲蓄計劃"
"N","服務",43400,0,3,"儲蓄計劃"
"N","教育",46800,1,6,"儲蓄計劃"
"N","法律",36800,0,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",35850,1,3,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",41700,1,5,"儲蓄計劃"
"N","醫療",55250,1,8,"儲蓄計劃"
"N","服務",40250,0,9,"儲蓄計劃"
"N","教育",55500,1,8,"儲蓄計劃"
"N","法律",30500,1,5,"儲蓄計劃"
"N","醫療",74100,0,2,"儲蓄計劃"
"N","教育",78200,0,8,"儲蓄計劃"
"N","法律",48200,0,1,"儲蓄計劃"
"N","醫療",52950,1,8,"儲蓄計劃"
"N","服務",37950,0,1,"儲蓄計劃"
"N","教育",65900,0,2,"儲蓄計劃"
"N","法律",25900,1,9,"儲蓄計劃"
"N","醫療",60750,0,2,"儲蓄計劃"
"N","服務",45750,1,5,"儲蓄計劃"
"N","教育",51500,1,8,"儲蓄計劃"
"N","法律",21500,0,3,"儲蓄計劃"
"N","醫療",62750,1,6,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",35500,0,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",18600,0,3,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",22500,0,3,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",36450,0,7,"儲蓄計劃"
"N","教育",77900,0,2,"儲蓄計劃"
"N","法律",22900,0,3,"儲蓄計劃"
"N","醫療",56100,1,4,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",12200,1,7,"儲蓄計劃"
"N","醫療",65850,0,6,"儲蓄計劃"
"N","服務",35850,1,5,"儲蓄計劃"
"N","教育",76700,1,8,"儲蓄計劃"
"N","法律",41700,0,1,"儲蓄計劃"
"N","醫療",65000,1,6,"儲蓄計劃"
"N","服務",55000,1,1,"儲蓄計劃"
"N","教育",70000,0,2,"儲蓄計劃"
"N","法律",40000,0,7,"儲蓄計劃"
"N","醫療",71150,0,6,"儲蓄計劃"
"N","服務",56150,1,1,"儲蓄計劃"
"N","教育",42300,1,4,"儲蓄計劃"
"N","法律",22300,1,7,"儲蓄計劃"
"N","醫療",65950,0,8,"儲蓄計劃"
"N","教育",61900,0,4,"儲蓄計劃"
"N","法律",31900,1,7,"儲蓄計劃"
"N","醫療",54050,1,8,"儲蓄計劃"
"N","教育",78100,1,2,"儲蓄計劃"
"N","法律",48100,1,3,"儲蓄計劃"
"N","醫療",73850,0,6,"儲蓄計劃"
"N","教育",37700,0,8,"儲蓄計劃"
"N","法律",17700,1,1,"儲蓄計劃"
"N","醫療",64400,1,8,"儲蓄計劃"
"N","服務",49400,0,7,"儲蓄計劃"
"N","教育",43800,1,4,"儲蓄計劃"
"N","法律",48800,0,5,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",38850,0,3,"儲蓄計劃"
"N","教育",67700,1,4,"儲蓄計劃"
"N","法律",47700,1,1,"儲蓄計劃"
"N","醫療",59500,1,2,"儲蓄計劃"
"N","服務",34500,0,1,"儲蓄計劃"
"N","教育",44000,1,8,"儲蓄計劃"
"N","法律",19000,0,3,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",39900,1,7,"儲蓄計劃"
"N","教育",54800,1,2,"儲蓄計劃"
"N","法律",49800,0,1,"儲蓄計劃"
"N","醫療",66200,1,2,"儲蓄計劃"
"N","服務",41200,0,7,"儲蓄計劃"
"N","教育",42400,1,4,"儲蓄計劃"
"N","法律",12400,1,5,"儲蓄計劃"
"N","醫療",71200,1,4,"儲蓄計劃"
"N","服務",31200,0,9,"儲蓄計劃"
"N","教育",52400,0,6,"儲蓄計劃"
"N","法律",32400,1,3,"儲蓄計劃"
"N","醫療",67650,0,8,"儲蓄計劃"
"N","服務",52650,1,1,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",35300,1,1,"儲蓄計劃"
"N","醫療",51350,0,2,"儲蓄計劃"
"N","教育",42700,1,8,"儲蓄計劃"
"N","法律",42700,1,5,"儲蓄計劃"
"N","醫療",64200,1,8,"儲蓄計劃"
"N","服務",39200,0,9,"儲蓄計劃"
"N","教育",68400,0,2,"儲蓄計劃"
"N","法律",28400,0,1,"儲蓄計劃"
"N","醫療",61450,1,8,"儲蓄計劃"
"N","服務",46450,0,1,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",42900,0,7,"儲蓄計劃"
"N","醫療",53050,1,8,"儲蓄計劃"
"N","服務",33050,0,3,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",36100,0,3,"儲蓄計劃"
"N","醫療",58150,0,6,"儲蓄計劃"
"N","服務",43150,0,9,"儲蓄計劃"
"N","教育",61300,1,8,"儲蓄計劃"
"N","法律",16300,0,5,"儲蓄計劃"
"N","醫療",56250,1,4,"儲蓄計劃"
"N","服務",46250,0,9,"儲蓄計劃"
"N","教育",37500,1,2,"儲蓄計劃"
"N","法律",22500,1,3,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",42500,1,5,"儲蓄計劃"
"N","教育",60000,1,8,"儲蓄計劃"
"N","法律",15000,1,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",44150,1,9,"儲蓄計劃"
"N","教育",78300,0,4,"儲蓄計劃"
"N","法律",38300,0,9,"儲蓄計劃"
"N","醫療",54750,1,4,"儲蓄計劃"
"N","服務",39750,0,1,"儲蓄計劃"
"N","教育",69500,0,8,"儲蓄計劃"
"N","法律",49500,1,5,"儲蓄計劃"
"N","醫療",65350,0,2,"儲蓄計劃"
"N","服務",40350,1,9,"儲蓄計劃"
"N","教育",40700,0,4,"儲蓄計劃"
"N","法律",30700,1,5,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",43250,0,9,"儲蓄計劃"
"N","教育",76500,0,4,"儲蓄計劃"
"N","法律",36500,1,1,"儲蓄計劃"
"N","醫療",57700,0,4,"儲蓄計劃"
"N","服務",47700,1,1,"儲蓄計劃"
"N","教育",55400,0,8,"儲蓄計劃"
"N","法律",25400,0,3,"儲蓄計劃"
"N","醫療",51100,1,6,"儲蓄計劃"
"N","教育",57200,0,8,"儲蓄計劃"
"N","法律",42200,0,1,"儲蓄計劃"
"N","醫療",68600,0,4,"儲蓄計劃"
"N","教育",52200,1,6,"儲蓄計劃"
"N","法律",17200,0,7,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",42050,1,1,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",34100,0,3,"儲蓄計劃"
"N","醫療",57350,1,8,"儲蓄計劃"
"N","教育",49700,0,4,"儲蓄計劃"
"N","法律",14700,1,7,"儲蓄計劃"
"N","醫療",55050,1,6,"儲蓄計劃"
"N","服務",30050,0,9,"儲蓄計劃"
"N","教育",50100,0,8,"儲蓄計劃"
"N","法律",30100,0,1,"儲蓄計劃"
"N","醫療",65750,0,6,"儲蓄計劃"
"N","教育",46500,0,6,"儲蓄計劃"
"N","法律",31500,1,9,"儲蓄計劃"
"N","醫療",73200,0,2,"儲蓄計劃"
"N","教育",46400,1,6,"儲蓄計劃"
"N","法律",46400,1,3,"儲蓄計劃"
"N","醫療",70050,0,6,"儲蓄計劃"
"N","教育",40100,0,8,"儲蓄計劃"
"N","法律",20100,0,1,"儲蓄計劃"
"N","醫療",54500,1,2,"儲蓄計劃"
"N","服務",34500,1,3,"儲蓄計劃"
"N","教育",59000,1,6,"儲蓄計劃"
"N","法律",39000,0,9,"儲蓄計劃"
"N","醫療",56800,1,2,"儲蓄計劃"
"N","服務",0,1,0,"儲蓄計劃"
"N","教育",78600,0,2,"儲蓄計劃"
"N","法律",23600,1,7,"儲蓄計劃"
"N","醫療",74150,1,4,"儲蓄計劃"
"N","教育",38300,0,8,"儲蓄計劃"
"N","法律",18300,1,1,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",45950,1,3,"儲蓄計劃"
"N","教育",66900,0,2,"儲蓄計劃"
"N","法律",41900,0,7,"儲蓄計劃"
"N","醫療",63800,0,2,"儲蓄計劃"
"N","服務",43800,0,9,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",17600,0,1,"儲蓄計劃"
"N","醫療",0,0,0,"儲蓄計劃"
"N","服務",0,1,0,"儲蓄計劃"
"N","教育",76200,0,8,"儲蓄計劃"
"N","法律",11200,0,5,"儲蓄計劃"
"N","醫療",55500,0,4,"儲蓄計劃"
"N","服務",50500,0,1,"儲蓄計劃"
"N","教育",76000,0,4,"儲蓄計劃"
"N","法律",11000,0,1,"儲蓄計劃"
"N","醫療",68700,1,4,"儲蓄計劃"
"N","教育",67400,1,6,"儲蓄計劃"
"N","法律",17400,0,3,"儲蓄計劃"
"Y","醫療",51800,0,2,"儲蓄計劃"
"N","服務",31800,0,5,"儲蓄計劃"
"N","教育",0,1,0,"儲蓄計劃"
"N","法律",13600,0,1,"儲蓄計劃"
"N","醫療",51700,0,8,"儲蓄計劃"
"N","服務",0,1,0,"儲蓄計劃"
"N","教育",48400,1,6,"儲蓄計劃"
"N","法律",33400,1,5,"儲蓄計劃"
"Y","醫療",53950,0,6,"儲蓄計劃"
"N","服務",33950,1,5,"儲蓄計劃"
"N","教育",42900,1,6,"儲蓄計劃"
"N","法律",37900,1,3,"儲蓄計劃"
"N","醫療",70750,0,5,"儲蓄計劃"
"N","服務",0,0,0,"儲蓄計劃"
"N","教育",51500,1,8,"儲蓄計劃"
"N","法律",41500,0,7,"儲蓄計劃"
"Y","醫療",65950,0,2,"儲蓄計劃"
"N","服務",30950,1,9,"儲蓄計劃"
"N","教育",36900,0,6,"儲蓄計劃"
"N","法律",11900,1,7,"儲蓄計劃"
"N","醫療",58000,1,5,"儲蓄計劃"
"N","服務",38000,0,3,"儲蓄計劃"
"N","教育",66000,1,6,"儲蓄計劃"
"N","法律",26000,1,7,"儲蓄計劃"
"N","醫療",0,1,0,"儲蓄計劃"
"N","服務",48850,1,3,"儲蓄計劃"
"N","教育",42700,0,6,"儲蓄計劃"
"N","法律",27700,0,5,"儲蓄計劃"
"N","醫療",66700,1,5,"儲蓄計劃"
"N","服務",31700,0,3,"儲蓄計劃"
"N","教育",68400,1,2,"儲蓄計劃"
"N","法律",13400,0,5,"儲蓄計劃"
"Y","醫療",56850,0,4,"儲蓄計劃"
"N","服務",41850,0,9,"儲蓄計劃"
"N","教育",73700,1,2,"儲蓄計劃"
"N","法律",33700,1,1,"儲蓄計劃"
"Y","醫療",58950,0,2,"儲蓄計劃"
"N","服務",48950,1,3,"儲蓄計劃"
"N","教育",72900,0,6,"儲蓄計劃"
"N","法律",27900,0,7,"儲蓄計劃"
"Y","醫療",55850,0,2,"儲蓄計劃"
"N","服務",45850,0,3,"儲蓄計劃"
"N","教育",66700,1,6,"儲蓄計劃"
"N","法律",41700,0,9,"儲蓄計劃"
"N","醫療",61600,1,5,"儲蓄計劃"
"N","教育",63200,1,6,"儲蓄計劃"
"N","法律",33200,1,3,"儲蓄計劃"
"Y","醫療",74350,0,4,"儲蓄計劃"
"N","教育",78700,0,4,"儲蓄計劃"
"N","法律",48700,0,3,"儲蓄計劃"
"N","醫療",61700,1,5,"儲蓄計劃"
"N","服務",0,0,0,"儲蓄計劃"
"N","教育",68400,0,8,"儲蓄計劃"
"N","法律",23400,1,3,"儲蓄計劃"
"Y","醫療",61950,0,2,"儲蓄計劃"
"N","教育",43900,0,6,"儲蓄計劃"
"N","法律",43900,0,7,"儲蓄計劃"
"N","醫療",50450,0,8,"儲蓄計劃"
"N","教育",55900,0,2,"儲蓄計劃"
"N","法律",40900,1,5,"儲蓄計劃"
"Y","醫療",55300,0,8,"儲蓄計劃"
"N","服務",40300,0,1,"儲蓄計劃"
"N","教育",40600,1,4,"儲蓄計劃"
"N","法律",30600,0,3,"儲蓄計劃"
"N","醫療",54000,0,2,"儲蓄計劃"
"N","服務",39000,1,6,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
"N","法律",28000,1,5,"儲蓄計劃"
"N","醫療",50450,0,8,"儲蓄計劃"
"N","服務",35450,0,7,"儲蓄計劃"
"N","教育",75900,1,4,"儲蓄計劃"
"N","法律",40900,0,9,"儲蓄計劃"
"Y","醫療",60350,1,5,"儲蓄計劃"
"N","服務",40350,0,3,"儲蓄計劃"
"N","教育",0,0,0,"儲蓄計劃"
